Layer Name,Layer Type,Parameters,Configuration
features,Sequential,2543424,Sequential(
features.0,Conv2d,23296,"Conv2d(3, 64, kernel_size=(11, 11), stride=(4, 4), padding=(2, 2))"
features.1,ReLU,0,ReLU(inplace=True)
features.2,MaxPool2d,0,"MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)"
features.3,Conv2d,307392,"Conv2d(64, 192, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))"
features.4,ReLU,0,ReLU(inplace=True)
features.5,MaxPool2d,0,"MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)"
features.6,Conv2d,663936,"Conv2d(192, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
features.7,ReLU,0,ReLU(inplace=True)
features.8,SEBlock,73728,SEBlock(
features.8.avg_pool,AdaptiveAvgPool2d,0,AdaptiveAvgPool2d(output_size=1)
features.8.fc1,Linear,36864,"Linear(in_features=384, out_features=96, bias=False)"
features.8.fc2,Linear,36864,"Linear(in_features=96, out_features=384, bias=False)"
features.8.sigmoid,Sigmoid,0,Sigmoid()
features.9,Conv2d,884992,"Conv2d(384, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
features.10,ReLU,0,ReLU(inplace=True)
features.11,Conv2d,590080,"Conv2d(256, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))"
features.12,ReLU,0,ReLU(inplace=True)
features.13,MaxPool2d,0,"MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)"
classifier,Sequential,54566920,Sequential(
classifier.0,Dropout,0,"Dropout(p=0.5, inplace=False)"
classifier.1,Linear,37752832,"Linear(in_features=9216, out_features=4096, bias=True)"
classifier.2,ReLU,0,ReLU(inplace=True)
classifier.3,Dropout,0,"Dropout(p=0.5, inplace=False)"
classifier.4,Linear,16781312,"Linear(in_features=4096, out_features=4096, bias=True)"
classifier.5,ReLU,0,ReLU(inplace=True)
classifier.6,Linear,32776,"Linear(in_features=4096, out_features=8, bias=True)"
