Pretrain,Ratio,Loc1,Loc2,M_diff,SD_diff,Cohens_dz
Face,2,1,2,-0.0984882990840129,0.0410940901935378,2.39665359715156
Face,2,1,3,-0.0137617572747681,0.0122177352517335,1.1263754690392
Face,2,2,3,0.0847265418092447,0.0317364288361534,2.66969362705127
Face,4,1,2,0.117489264793193,0.040174970715825,2.92443933871777
Face,4,1,3,0.134320785969816,0.0538202784498004,2.49572818719435
Face,4,2,3,0.0168315211766225,0.0171899251422164,0.979150347507115
Face,8,1,2,0.0861449104989644,0.0312007035105307,2.76099256768006
Face,8,1,3,-0.00532654400767543,0.000909191908536961,5.85854752738254
Face,8,2,3,-0.0914714545066398,0.032051638841245,2.85387761167867
Face,16,1,2,-0.0364445784258734,0.0690805919260528,0.527566099388457
Face,16,1,3,7.0965791439323e-05,0.00428598750955376,0.0165576290834108
Face,16,2,3,0.0365155442173128,0.0657597662450826,0.555287013661539
Face,32,1,2,-0.090727272843086,0.0740456620350923,1.22528815800293
Face,32,1,3,0.00121581676989096,0.0106318765427435,0.114355802101633
Face,32,2,3,0.091943089612977,0.081796606866075,1.12404527688434
Object,2,1,2,0.0609986385772344,0.150566117249951,0.405128588631744
Object,2,1,3,0.0298743971430932,0.00994433038911594,3.00416377715997
Object,2,2,3,-0.0311242414341412,0.146860914660028,0.211930053045029
Object,4,1,2,-0.00389358835085288,0.13184477435864,0.029531609195687
Object,4,1,3,0.0127642308631018,0.124517995611324,0.10250912569252
Object,4,2,3,0.0166578192139547,0.0131413182690152,1.26759118628385
Object,8,1,2,0.00519285002905959,0.0194504757531758,0.266978046961742
Object,8,1,3,-0.00455090868055428,0.0106133034714934,0.428792853495401
Object,8,2,3,-0.00974375870961388,0.0292200359357944,0.333461558056396
Object,16,1,2,-0.0326377179166744,0.0552735402521605,0.590476343070837
Object,16,1,3,-0.0789741703108302,0.091550530632253,0.86262930171382
Object,16,2,3,-0.0463364523941558,0.128786670775376,0.359792299274309
Object,32,1,2,0.0075348694080105,0.138337571068936,0.0544672669166335
Object,32,1,3,-0.0224505353618048,0.00833578206568772,2.69327283089815
Object,32,2,3,-0.0299854047698153,0.141690005238528,0.211626816721027
