Pretrain,Location,Ratio1,Ratio2,M_diff,SD_diff,Cohens_dz
Face,L1,2,4,-0.121878140794295,0.0432792214188302,2.81608903299881
Face,L1,2,8,-0.103602000570716,0.0425129824216461,2.43694971910429
Face,L1,2,16,0.0301293537058264,0.0652278444041856,0.461909388253416
Face,L1,2,32,0.0287452144957121,0.049565632692552,0.579942450730211
Face,L1,4,8,0.0182761402235784,0.000909191908536951,20.1015209792044
Face,L1,4,16,0.152007494500121,0.0955774503882239,1.59041169107028
Face,L1,4,32,0.150623355290007,0.0823665962598521,1.82869466664395
Face,L1,8,16,0.133731354276543,0.0950590151891237,1.40682452906207
Face,L1,8,32,0.132347215066428,0.0818016376295544,1.61790422418893
Face,L1,16,32,-0.00138413921011433,0.0188231576172166,0.0735338479473988
Face,L2,2,4,0.0940994230829114,0.0379254367348812,2.48116913565731
Face,L2,2,8,0.0810312090122609,0.0296168780956808,2.73598077253383
Face,L2,2,16,0.0921730743639658,0.0365813395970418,2.51967465870002
Face,L2,2,32,0.0365062407366389,0.0121518810040213,3.00416377715996
Face,L2,4,8,-0.0130682140706503,0.0108673691409928,1.20251865019986
Face,L2,4,16,-0.00192634871894551,0.00172052253736528,1.11963004093827
Face,L2,4,32,-0.0575931823462725,0.0282875620460865,2.03598960746214
Face,L2,8,16,0.0111418653517048,0.00916497538557783,1.21570052105518
Face,L2,8,32,-0.0445249682756221,0.0189172271785139,2.35367307562883
Face,L2,16,32,-0.055666833627327,0.0267909911412116,2.07781911964043
Face,L3,2,4,0.0262044024502891,0.0250575133083001,1.04577026969428
Face,L3,2,8,-0.0951667873036236,0.0341231759002073,2.7889194013458
Face,L3,2,16,0.0439620767720338,0.0706082294951514,0.62261972982983
Face,L3,2,32,0.0437227885403711,0.0672369562090567,0.650279117401239
Face,L3,4,8,-0.121371189753913,0.0538202784498004,2.25512006347419
Face,L3,4,16,0.0177576743217447,0.0513421025255481,0.345869636190073
Face,L3,4,32,0.0175183860900821,0.0476723133515295,0.367475057501484
Face,L3,8,16,0.139128864075657,0.0926967598689182,1.5009032060279
Face,L3,8,32,0.138889575843995,0.0897172392898742,1.54808124885838
Face,L3,16,32,-0.000239288231662687,0.0042898877056585,0.0557796026565119
Object,L1,2,4,0.077870801488429,0.143289745780397,0.543449924237928
Object,L1,2,8,0.121180532287221,0.0674287842390756,1.79716323903398
Object,L1,2,16,0.126458232158163,0.0990258332187681,1.27702265204668
Object,L1,2,32,0.0628972728977008,0.0213195695670584,2.95021307535615
Object,L1,4,8,0.0433097307987917,0.0988389511981542,0.438184847914498
Object,L1,4,16,0.0485874306697345,0.0670670435835238,0.724460600521696
Object,L1,4,32,-0.0149735285907282,0.134818900194469,0.111064016759739
Object,L1,8,16,0.00527769987094275,0.0424539521928443,0.124315866917858
Object,L1,8,32,-0.0582832593895199,0.0541458050917187,1.07641320118507
Object,L1,16,32,-0.0635609592604627,0.0881995813500876,0.720649217235764
Object,L2,2,4,0.0129785745603417,0.139531866453625,0.093015129018254
Object,L2,2,8,0.0653747437390459,0.0948730139502698,0.6890762822536
Object,L2,2,16,0.0328218756642547,0.0271848664989461,1.20735835379317
Object,L2,2,32,0.00943350372847687,0.00716526044651929,1.31656117720877
Object,L2,4,8,0.0523961691787042,0.0652540120612423,0.802957052349965
Object,L2,4,16,0.019843301103913,0.122925967194398,0.161424811671665
Object,L2,4,32,-0.00354507083186483,0.135412493594076,0.0261797913750251
Object,L2,8,16,-0.0325528680747912,0.0744783893459342,0.437078035127626
Object,L2,8,32,-0.055941240010569,0.0898451554966965,0.622640583137795
Object,L2,16,32,-0.0233883719357778,0.0205468678914867,1.13829378079899
Object,L3,2,4,0.0607606352084376,0.0278161123136787,2.18436834462155
Object,L3,2,8,0.0867552264635732,0.0533986273816152,1.62467147036522
Object,L3,2,16,0.0176096647042401,0.00586175255760778,3.00416377715997
Object,L3,2,32,0.0105723403928028,0.00351922903577435,3.00416377715994
Object,L3,4,8,0.0259945912551357,0.0294484402036268,0.882715385785839
Object,L3,4,16,-0.0431509705041975,0.0236729882314329,1.82279356042182
Object,L3,4,32,-0.0501882948156348,0.0252471293926199,1.98788123731427
Object,L3,8,16,-0.0691455617593332,0.0500999220916256,1.38015307953724
Object,L3,8,32,-0.0761828860707704,0.0513633719272226,1.48321426752735
Object,L3,16,32,-0.00703732431143728,0.00234252352183343,3.00416377716001
