Condition,M,SD
Face_L1_R2,0.0971016462783275,0.0781967822849239
Face_L1_R4,0.218979787072622,0.0924207631959409
Face_L1_R8,0.200703646849044,0.0921001325023784
Face_L1_R16,0.0669722925725012,0.0628104169736637
Face_L1_R32,0.0683564317826155,0.0648808389380908
Face_L2_R2,0.19558994536234,0.0915211092648205
Face_L2_R4,0.101490522279429,0.0791548716175479
Face_L2_R8,0.114558736350079,0.0825847604459195
Face_L2_R16,0.103416870998375,0.0796306537316843
Face_L2_R32,0.159083704625702,0.0882352034302794
Face_L3_R2,0.110863403553096,0.0817484430414424
Face_L3_R4,0.0846590011028066,0.074526979110107
Face_L3_R8,0.206030190856719,0.092420763195941
Face_L3_R16,0.0669013267810619,0.0631718862220611
Face_L3_R32,0.0671406150127245,0.0634914084680821
Object_L1_R2,0.19450871249452,0.0914022717722245
Object_L1_R4,0.116637911006091,0.0634212956698901
Object_L1_R8,0.0733281802072991,0.068443138389757
Object_L1_R16,0.0680504803363564,0.061891260275611
Object_L1_R32,0.131611439596819,0.085927041900304
Object_L2_R2,0.133510073917285,0.0661270599551291
Object_L2_R4,0.120531499356944,0.0841171375592881
Object_L2_R8,0.0681353301782395,0.0647056309265775
Object_L2_R16,0.100688198253031,0.0613419320707089
Object_L2_R32,0.124076570188809,0.0645773617424876
Object_L3_R2,0.164634315351427,0.0886353212238515
Object_L3_R4,0.103873680142989,0.0797485080572508
Object_L3_R8,0.0778790888878534,0.0711469307555072
Object_L3_R16,0.147024650647187,0.0874941748075953
Object_L3_R32,0.154061974958624,0.087905107376789
