Pretrain,Location_1,Location_2,Difference,StdErr,pValue,Lower,Upper
Face,L1,L2,-0.00440519501216294,0.0040351047258403,0.844967538367924,-0.0144996466235282,0.00568925659920236
Face,L1,L3,0.0233038534497405,0.00145324384129878,2.76205753511545e-18,0.0196683345147393,0.0269393723847417
Face,L2,L1,0.00440519501216294,0.0040351047258403,0.844967538367924,-0.00568925659920236,0.0144996466235282
Face,L2,L3,0.0277090484619034,0.00514101611253816,1.09131313504649e-05,0.0148479848942265,0.0405701120295804
Face,L3,L1,-0.0233038534497405,0.00145324384129878,2.76205753511545e-18,-0.0269393723847417,-0.0196683345147393
Face,L3,L2,-0.0277090484619034,0.00514101611253816,1.09131313504649e-05,-0.0405701120295804,-0.0148479848942265
Object,L1,L2,0.00743901034935542,0.00695872990164527,0.874900726514873,-0.00996935127726647,0.0248473719759773
Object,L1,L3,-0.0126673972693989,0.00688734462545914,0.220511455341338,-0.0298971773559655,0.00456238281716776
Object,L2,L1,-0.00743901034935542,0.00695872990164527,0.874900726514873,-0.0248473719759773,0.00996935127726647
Object,L2,L3,-0.0201064076187543,0.0136879939649723,0.449634943826089,-0.0543490858449803,0.0141362706074717
Object,L3,L1,0.0126673972693989,0.00688734462545914,0.220511455341338,-0.00456238281716776,0.0298971773559655
Object,L3,L2,0.0201064076187543,0.0136879939649723,0.449634943826089,-0.0141362706074717,0.0543490858449803
