Pretrain,Ratio_1,Ratio_2,Difference,StdErr,pValue,Lower,Upper
Face,R16,R2,-0.055421501613942,0.00835754426054129,6.90077337060448e-07,-0.0802902835092511,-0.0305527197186329
Face,R16,R32,-0.0190967536897013,0.00216966590841627,8.34769298879346e-10,-0.0255528305682696,-0.012640676811133
Face,R16,R4,-0.0559462733676401,0.00747085971676853,4.61608689834474e-08,-0.0781766289690993,-0.0337159177661809
Face,R16,R8,-0.094667361234635,0.010298344269782,2.62661641275206e-10,-0.125311204634565,-0.0640235178347045
Face,R2,R16,0.055421501613942,0.00835754426054129,6.90077337060448e-07,0.0305527197186329,0.0802902835092511
Face,R2,R32,0.0363247479242406,0.00637365729261362,1.35526789254427e-05,0.0173592374651684,0.0552902583833128
Face,R2,R4,-0.000524771753698118,0.00107395043473069,1,-0.00372042807271835,0.00267088456532211
Face,R2,R8,-0.039245859620693,0.00248263228971833,1.49525750162066e-17,-0.0466332020043585,-0.0318585172370275
Face,R32,R16,0.0190967536897013,0.00216966590841627,8.34769298879346e-10,0.012640676811133,0.0255528305682696
Face,R32,R2,-0.0363247479242406,0.00637365729261362,1.35526789254427e-05,-0.0552902583833128,-0.0173592374651684
Face,R32,R4,-0.0368495196779388,0.00549629807860971,5.46923157762473e-07,-0.0532043523760906,-0.020494686979787
Face,R32,R8,-0.0755706075449336,0.00824096470883339,2.80491132529901e-10,-0.100092494305201,-0.0510487207846661
Face,R4,R16,0.0559462733676401,0.00747085971676853,4.61608689834474e-08,0.0337159177661809,0.0781766289690993
Face,R4,R2,0.000524771753698118,0.00107395043473069,1,-0.00267088456532211,0.00372042807271835
Face,R4,R32,0.0368495196779388,0.00549629807860971,5.46923157762473e-07,0.020494686979787,0.0532043523760906
Face,R4,R8,-0.0387210878669949,0.00332411026881075,2.86468081483782e-13,-0.0486123394947377,-0.028829836239252
Face,R8,R16,0.094667361234635,0.010298344269782,2.62661641275206e-10,0.0640235178347045,0.125311204634565
Face,R8,R2,0.039245859620693,0.00248263228971833,1.49525750162066e-17,0.0318585172370275,0.0466332020043585
Face,R8,R32,0.0755706075449336,0.00824096470883339,2.80491132529901e-10,0.0510487207846661,0.100092494305201
Face,R8,R4,0.0387210878669949,0.00332411026881075,2.86468081483782e-13,0.028829836239252,0.0486123394947377
Object,R16,R2,-0.0589632575088861,0.00516356527697634,5.24187799491631e-13,-0.0743280075684926,-0.0435985074492795
Object,R16,R32,-0.0313288851692259,0.00446887121116854,2.07334797196625e-07,-0.044626497482628,-0.0180312728558239
Object,R16,R4,-0.00842658708981667,0.00350341798441648,0.210043940878483,-0.0188513883264558,0.00199821414682243
Object,R16,R8,0.0321402433210605,0.00513335208407479,2.24760164868998e-06,0.0168653959028527,0.0474150907392683
Object,R2,R16,0.0589632575088861,0.00516356527697634,5.24187799491631e-13,0.0435985074492795,0.0743280075684926
Object,R2,R32,0.0276343723396601,0.00133827675892974,1.3334812011431e-21,0.023652184295438,0.0316165603838823
Object,R2,R4,0.0505366704190694,0.00278833262173535,1.34950626722824e-19,0.0422396834501938,0.058833657387945
Object,R2,R8,0.0911035008299466,0.00649009972636894,7.81798003408481e-16,0.0717915032452133,0.11041549841468
Object,R32,R16,0.0313288851692259,0.00446887121116854,2.07334797196625e-07,0.0180312728558239,0.044626497482628
Object,R32,R2,-0.0276343723396601,0.00133827675892974,1.3334812011431e-21,-0.0316165603838823,-0.023652184295438
Object,R32,R4,0.0229022980794093,0.00163346753591966,8.12723248855787e-16,0.0180417377739562,0.0277628583848623
Object,R32,R8,0.0634691284902864,0.00568302133664101,1.02275926357738e-12,0.0465586804302531,0.0803795765503198
Object,R4,R16,0.00842658708981667,0.00350341798441648,0.210043940878483,-0.00199821414682243,0.0188513883264558
Object,R4,R2,-0.0505366704190694,0.00278833262173535,1.34950626722824e-19,-0.058833657387945,-0.0422396834501938
Object,R4,R32,-0.0229022980794093,0.00163346753591966,8.12723248855787e-16,-0.0277628583848623,-0.0180417377739562
Object,R4,R8,0.0405668304108772,0.00461696594516203,8.73583657595435e-10,0.0268285461100211,0.0543051147117333
Object,R8,R16,-0.0321402433210605,0.00513335208407479,2.24760164868998e-06,-0.0474150907392683,-0.0168653959028527
Object,R8,R2,-0.0911035008299466,0.00649009972636894,7.81798003408481e-16,-0.11041549841468,-0.0717915032452133
Object,R8,R32,-0.0634691284902864,0.00568302133664101,1.02275926357738e-12,-0.0803795765503198,-0.0465586804302531
Object,R8,R4,-0.0405668304108772,0.00461696594516203,8.73583657595435e-10,-0.0543051147117333,-0.0268285461100211
