Location_1,Location_2,Difference,StdErr,pValue,Lower,Upper,Pretrain,Ratio
L1,L2,-0.0984882990840128,0.00649754616919845,1.84596925166744e-17,-0.114742936783392,-0.0822336613846339,Face,2
L1,L3,-0.0137617572747681,0.00193179356222041,4.34944996639156e-08,-0.0185944438992571,-0.00892907065027905,Face,2
L2,L1,0.0984882990840128,0.00649754616919845,1.84596925166744e-17,0.0822336613846339,0.114742936783392,Face,2
L2,L3,0.0847265418092447,0.00501796999610456,4.73058323596631e-19,0.0721732975307057,0.0972797860877837,Face,2
L3,L1,0.0137617572747681,0.00193179356222041,4.34944996639156e-08,0.00892907065027905,0.0185944438992571,Face,2
L3,L2,-0.0847265418092447,0.00501796999610456,4.73058323596631e-19,-0.0972797860877837,-0.0721732975307057,Face,2
L1,L2,0.117489264793193,0.0063522206196286,1.98896285369069e-20,0.101598181902847,0.13338034768354,Face,4
L1,L3,0.134320785969816,0.00850973321029227,4.7204641452757e-18,0.113032344664483,0.155609227275149,Face,4
L2,L1,-0.117489264793193,0.0063522206196286,1.98896285369069e-20,-0.13338034768354,-0.101598181902847,Face,4
L2,L3,0.0168315211766225,0.00271796581285989,8.38957468729676e-07,0.0100321005312151,0.0236309418220298,Face,4
L3,L1,-0.134320785969816,0.00850973321029227,4.7204641452757e-18,-0.155609227275149,-0.113032344664483,Face,4
L3,L2,-0.0168315211766225,0.00271796581285989,8.38957468729676e-07,-0.0236309418220298,-0.0100321005312151,Face,4
L1,L2,0.0861449104989644,0.00493326438464443,1.48012051242193e-19,0.0738035706824384,0.0984862503154904,Face,8
L1,L3,-0.00532654400767549,0.000143755863058764,1.55271420470085e-31,-0.00568617199804804,-0.00496691601730293,Face,8
L2,L1,-0.0861449104989644,0.00493326438464443,1.48012051242193e-19,-0.0984862503154904,-0.0738035706824384,Face,8
L2,L3,-0.0914714545066399,0.00506780907397272,4.67826535232335e-20,-0.104149379108015,-0.0787935299052648,Face,8
L3,L1,0.00532654400767549,0.000143755863058764,1.55271420470085e-31,0.00496691601730293,0.00568617199804804,Face,8
L3,L2,0.0914714545066399,0.00506780907397272,4.67826535232335e-20,0.0787935299052648,0.104149379108015,Face,8
L1,L2,-0.0364445784258734,0.0109226006299482,0.00561443480607619,-0.0637691885712321,-0.00911996828051471,Face,16
L1,L3,7.09657914393647e-05,0.000677674127661099,1,-0.00162434304308527,0.001766274625964,Face,16
L2,L1,0.0364445784258734,0.0109226006299482,0.00561443480607619,0.00911996828051471,0.0637691885712321,Face,16
L2,L3,0.0365155442173128,0.010397531986736,0.00342337176679965,0.0105044761908511,0.0625266122437745,Face,16
L3,L1,-7.09657914393647e-05,0.000677674127661099,1,-0.001766274625964,0.00162434304308527,Face,16
L3,L2,-0.0365155442173128,0.010397531986736,0.00342337176679965,-0.0625266122437745,-0.0105044761908511,Face,16
L1,L2,-0.0907272728430861,0.0117076471442975,6.15309086062528e-09,-0.12001580080228,-0.0614387448838918,Face,32
L1,L3,0.00121581676989096,0.00168104728383931,1,-0.00298958844659923,0.00542122198638116,Face,32
L2,L1,0.0907272728430861,0.0117076471442975,6.15309086062528e-09,0.0614387448838918,0.12001580080228,Face,32
L2,L3,0.091943089612977,0.0129331791285082,4.55627977868155e-08,0.0595886998848,0.124297479341154,Face,32
L3,L1,-0.00121581676989096,0.00168104728383931,1,-0.00542122198638116,0.00298958844659923,Face,32
L3,L2,-0.091943089612977,0.0129331791285082,4.55627977868155e-08,-0.124297479341154,-0.0595886998848,Face,32
L1,L2,0.0609986385772344,0.0238065934478907,0.0431269801754324,0.00144268602605648,0.120554591128412,Object,2
L1,L3,0.0298743971430931,0.00157233669174175,7.71746142589401e-21,0.025940948638047,0.0338078456481393,Object,2
L2,L1,-0.0609986385772344,0.0238065934478907,0.0431269801754324,-0.120554591128412,-0.00144268602605648,Object,2
L2,L3,-0.0311242414341412,0.0232207494790651,0.563651306735882,-0.0892146127930271,0.0269661299247447,Object,2
L3,L1,-0.0298743971430931,0.00157233669174175,7.71746142589401e-21,-0.0338078456481393,-0.025940948638047,Object,2
L3,L2,0.0311242414341412,0.0232207494790651,0.563651306735882,-0.0269661299247447,0.0892146127930271,Object,2
L1,L2,-0.00389358835085289,0.0208464892282134,1,-0.0560443727985169,0.0482571960968111,Object,4
L1,L3,0.0127642308631018,0.0196880237905317,1,-0.0364884693714736,0.0620169310976772,Object,4
L2,L1,0.00389358835085289,0.0208464892282134,1,-0.0482571960968111,0.0560443727985169,Object,4
