Location,Effect,SumSq,DF,MeanSq,F,pValue,pValueGG,Partial_Eta_Sq
L1,(Intercept),6.11326147386148,1,6.11326147386148,182.316127226934,2.76366005847193e-16,2.76366005847193e-16,0.823781481771502
L1,Error,1.307713152462,39,0.0335311064733847,1,0.5,0.5,0
L1,(Intercept):Pretrain,0.0184835341183678,1,0.0184835341183678,12.3268162054782,0.00114433923828017,0.00114433923828017,0.240163273641012
L1,Error(Pretrain),0.0584788333500085,39,0.00149945726538483,1,0.5,0.5,0
L1,(Intercept):Ratio,0.506490158841299,4,0.126622539710325,50.5551765964561,3.1152112734304e-27,2.87073228659976e-11,0.564514286251284
L1,Error(Ratio),0.390723908502682,156,0.00250464043911976,1,0.5,0.5,0
L1,(Intercept):Pretrain:Ratio,0.785293748887516,4,0.196323437221879,54.0858311912003,1.56997633407111e-28,2.96320810883179e-10,0.581031833728882
L1,Error(Pretrain:Ratio),0.566256550599079,156,0.00362984968332743,1,0.5,0.5,0
L2,(Intercept),5.96415964488935,1,5.96415964488935,276.468768270066,2.67243781247494e-19,2.67243781247494e-19,0.876374449953116
L2,Error,0.841332739340268,39,0.0215726343420581,1,0.5,0.5,0
L2,(Intercept):Pretrain,0.0647174344318405,1,0.0647174344318405,3.20285074008759,0.0812773927952784,0.0812773927952784,0.0758918102431709
L2,Error(Pretrain),0.788041700242563,39,0.020206197442117,1,0.5,0.5,0
L2,(Intercept):Ratio,0.292167220173765,4,0.0730418050434413,39.1556601634655,1.13508366437123e-22,9.02818459262871e-09,0.500995834230943
L2,Error(Ratio),0.291005732995114,156,0.00186542136535329,1,0.5,0.5,0
L2,(Intercept):Pretrain:Ratio,0.0873735056427696,4,0.0218433764106924,8.81119495541503,1.93436441277886e-06,0.00324597488299783,0.184291460684713
L2,Error(Pretrain:Ratio),0.386731508871433,156,0.00247904813379124,1,0.5,0.5,0
L3,(Intercept),5.5986019110258,1,5.5986019110258,107.506129648552,9.09163167450803e-13,9.09163167450803e-13,0.733799533892843
L3,Error,2.03100488543118,39,0.0520770483443892,1,0.5,0.5,0
L3,(Intercept):Pretrain,0.050067797119741,1,0.050067797119741,24.3877781588402,1.52087387063685e-05,1.52087387063685e-05,0.384739438219906
L3,Error(Pretrain),0.0800665019565177,39,0.0020529872296543,1,0.5,0.5,0
L3,(Intercept):Ratio,0.136257164435597,4,0.0340642911088992,59.8012321386487,1.56574325116032e-30,6.0850889480977e-13,0.60526808061188
L3,Error(Ratio),0.0888615371781595,156,0.000569625238321535,1,0.5,0.5,0
L3,(Intercept):Pretrain:Ratio,0.623097995365784,4,0.155774498841446,88.3519322979575,4.5067639317264e-39,1.3387962381951e-12,0.693762008190389
L3,Error(Pretrain:Ratio),0.275045731171036,156,0.0017631136613528,1,0.5,0.5,0
