Pretrain,Effect,SumSq,DF,MeanSq,F,pValue,pValueGG,Partial_Eta_Sq
Face,(Intercept),9.24394247319756,1,9.24394247319756,121.81361926456,1.45569855967331e-13,1.45569855967331e-13,0.757483226990621
Face,Error,2.95955213079849,39,0.0758859520717562,1,0.5,0.5,0
Face,(Intercept):Location,0.088684446357752,2,0.044342223178876,29.6775315027794,2.60463744105512e-10,1.75798202414603e-06,0.432128686826467
Face,Error(Location),0.116542489648386,78,0.00149413448267162,1,0.5,0.5,0
Face,(Intercept):Ratio,0.646950007075533,4,0.161737501768883,68.4971149959753,2.28617585695283e-33,1.36353676896802e-10,0.63719956576081
Face,Error(Ratio),0.368352014204223,156,0.00236123086028348,1,0.5,0.5,0
Face,(Intercept):Location:Ratio,1.03613433817999,8,0.129516792272498,140.718704372255,9.79281053625532e-99,7.58210065009051e-19,0.782994206773167
Face,Error(Location:Ratio),0.287163240802172,312,0.000920395002571063,1,0.5,0.5,0
Object,(Intercept),8.43532691216527,1,8.43532691216527,254.199876382937,1.11962710524372e-18,1.11962710524372e-18,0.866984937097778
Object,Error,1.29416958912624,39,0.0331838356186215,1,0.5,0.5,0
Object,(Intercept):Location,0.0413379637260061,2,0.020668981863003,2.18935140842593,0.118824636158437,0.146646556880308,0.0531533353540027
Object,Error(Location),0.736373603209429,78,0.00944068722063371,1,0.5,0.5,0
Object,(Intercept):Ratio,0.56107541054566,4,0.140268852636415,120.987994581357,9.16796612980665e-47,2.76824121562351e-23,0.756231709122601
Object,Error(Ratio),0.180860432367663,156,0.00115936174594656,1,0.5,0.5,0
Object,(Intercept):Location:Ratio,0.186520037545552,8,0.023315004693194,6.25879626452675,1.61884257278397e-07,0.014384167587015,0.13828905718008
Object,Error(Location:Ratio),1.16224928194345,312,0.00372515795494694,1,0.5,0.5,0
